ship-city,Amount
BENGALURU,6849664.99
HYDERABAD,4946032.82
MUMBAI,3704461.8
NEW DELHI,3613874.78
CHENNAI,3098745.74
PUNE,2338518.18
KOLKATA,1414978.87
GURUGRAM,1221618.74
THANE,1004355.29
LUCKNOW,933926.34
NOIDA,910666.98
GHAZIABAD,835633.35
AHMEDABAD,769345.7
NAVI MUMBAI,754761.81
JAIPUR,596310.22
Hyderabad,569678.95
Mumbai,518502.89
PATNA,497184.05
FARIDABAD,459168.5
BHUBANESWAR,457102.4
VISAKHAPATNAM,451147.62
Bangalore,441524.62
Chennai,435190.67
COIMBATORE,423532.87
PIMPRI CHINCHWAD,418570.91
GUWAHATI,407621.23
Bengaluru,401238.81
Pune,397735.13
NAGPUR,383650.7
VADODARA,382692.7
THIRUVANANTHAPURAM,365516.43
DEHRADUN,353018.55
BANGALORE,340582.71
GREATER NOIDA,338934.72
KANPUR,326246.36
INDORE,304395.48
KALYAN,292498.15
BHOPAL,291985.27
SECUNDERABAD,277887.2
RANCHI,267588.73
VIJAYAWADA,263645.18
New Delhi,263166.99
SURAT,241328.82
MYSURU,240495.79
ERNAKULAM,237174.16
Kolkata,234891.83
GUNTUR,232477.45
MANGALURU,224311.75
VARANASI,222461.09
NASHIK,206068.8
VASAI VIRAR,184904.18
CHANDIGARH,182296.05
ALLAHABAD,181008.3
MOHALI,174334.9
JAMSHEDPUR,172093.44
JAMMU,155912.87
GORAKHPUR,148285.01
NEW TOWN,147581.91
AGRA,145265.73
MEERUT,144223.94
NELLORE,142463.77
IMPHAL,140131.04
PUDUCHERRY,133551.86
JALANDHAR,131959.66
LUDHIANA,128892.04
MADURAI,127561.87
RAIPUR,124131.34
TIRUPATI,123906.89
Noida,122607.03
PALAKKAD,116953.81
JABALPUR,115216.94
Ahmedabad,115182.86
KOZHIKODE,114847.15
DIMAPUR,114200.52
Delhi,114163.81
CUTTACK,112634.2
RAJKOT,109650.0
SRINAGAR,109380.81
Gurgaon,109168.11
THRISSUR,108384.86
UDAIPUR,105750.56
WARANGAL,105314.57
Thane,103569.06
HOWRAH,103528.8
GURGAON,101455.09
TIRUCHIRAPPALLI,99767.58
JODHPUR,99211.25
Lucknow,98348.52
SILIGURI,98228.25
BAREILLY,96954.03
KOCHI,96808.34
UDUPI,96687.48
SHIMLA,95303.28
Ghaziabad,94065.78
AURANGABAD,92741.1
GWALIOR,91540.91
KOTTAYAM,91370.44
ZIRAKPUR,90383.44
KAKINADA,90317.92
Secunderabad,88822.75
HUBBALLI,86604.8
ANANTAPUR,85558.83
SALEM,84411.2
PORT BLAIR,81449.44
Haldwani,81232.0
VELLORE,80776.86
AMRITSAR,80721.01
PANCHKULA,78667.19
hyderabad,78048.58
BELAGAVI,77933.86
